Nombre Estacion	Nro Estacion	Año	Mes	Dia	Temperatura media diaria	Cant obs. 1	Temperatura de rocio	Cant obs. 2	Presion reducida al nivel medio del mar (hpa)	Cant obs. 3	Presion al nivel de la estacion (hpa)	Cant obs. 4	Visibilidad en km	Cant obs. 5	Viento medio (m/s)	Cant obs. 6	Máximo viento sostenido (m/s)	Temperatura Máxima (Celsisus)	Temperatura Minima (Celsisus)	Total precipitation en mm	Neblina	Lluvia o llovizna	Nieve o agua nieve	Granizo	Tormenta	Cluster_SOM_1
Azul_Aero	876410	2013	3	1	17,2	8	14,8	8	1012,5	8	995,2	8	12,6	8	7,5	8	13,9	26,6	12,6	0,8	0	1	0	0	1	c_som_1_5
Azul_Aero	876410	2013	3	2	17,3	8	14,6	8	1004	8	986,8	8	10,3	8	6,3	8	10,3	22,2	14,5	83,1	0	1	0	0	1	c_som_1_5
Azul_Aero	876410	2013	3	3	16,4	8	12,2	8	1013,7	8	996,3	8	16,9	8	4,8	8	7,7	22	13,2	4,1	0	1	0	0	0	c_som_2_1
Azul_Aero	876410	2013	3	4	14,6	8	10,2	8	1018	8	1000,4	8	15	8	2,4	8	3,6	20,6	8,2	0	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	3	5	15,4	8	9,3	8	1014	8	996,5	8	11,4	8	1,9	8	3,6	24,2	5,6	0	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	3	6	19,1	8	10,9	8	1007,9	8	990,7	8	15	8	3,7	8	6,2	25,9	13	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	3	7	13,7	7	7,4	7	1013,2	7	995,8	7	14,3	7	2,4	7	4,6	26,9	5	0	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	3	8	17,3	8	12,4	8	1015,2	8	997,7	8	11,7	8	2,2	8	3,6	26,6	8,5	6,1	1	1	0	0	1	c_som_3_1
Azul_Aero	876410	2013	3	9	22,6	8	16,7	8	1008,8	8	991,8	8	14,3	8	2,4	8	4,6	27,7	13,2	0	0	1	0	0	0	c_som_2_1
Azul_Aero	876410	2013	3	10	18,6	8	9,7	8	1007,9	7	990,8	7	15	8	3,9	8	6,7	28,2	12,7	0,5	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	3	11	13,2	7	8,7	7	1008	7	990,5	7	16,1	7	3,1	7	9,3	21,9	4	0	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	3	12	13,8	8	6,9	8	1012,6	8	995,1	8	12,6	8	1,9	8	5,7	25,6	3,2	0	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	3	13	12,4	7	7,4	7	1018,1	7	1000,5	7	14,3	7	2,6	7	5,1	22,2	8	3	0	1	0	0	0	c_som_2_1
Azul_Aero	876410	2013	3	14	9,1	8	4,1	8	1023,4	8	1005,4	8	14,3	8	1,8	8	3,1	18	1,4	0	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	3	15	10,7	8	6,9	8	1024,6	8	1006,7	8	14,2	8	2,1	8	4,1	16,8	7,4	3	0	1	0	0	0	c_som_2_1
Azul_Aero	876410	2013	3	16	9,7	8	4,5	8	1027,4	8	1009,3	8	14,2	8	1,4	8	2,6	17,9	0,9	2	0	0	0	0	0	c_som_3_2
