Nombre Estacion	Provincia	Fecha	Estacion	Temperatura media diaria	Temperatura de rocio	 Presion reducida al nivel medio del mar (hpa)	Presion al nivel de la estacion (hpa)	Visibilidad en km	 Viento medio (m/s)	Máximo viento sostenido (m/s)	 Temperatura Máxima (Celsisus)	Temperatura Minima (Celsisus)	Neblina	Lluvia	Nieve o agua nieve	Granizo	Cluster_SOM_1
Dolores_Aero	Buenos_Aires_E	10102	Verano	13,7	7,9	1021,5	1020,3	9,8	0,9	2,1	20,4	7,5	0	0	0	0	c_som_2_2
Chamical_Aero	La_Rioja	10102	Verano	24,6	8,1	1014,1	962	20	1,9	6,2	30,2	18	0	0	0	0	c_som_3_1
Santiago_Del_Estero_Aero	Santiago_Del_Estero	10102	Verano	22,3	10,9	1017,6	994,5	14,6	1,8	2,6	29,2	14	0	0	0	0	c_som_3_2
San_Antonio_Oeste_Aero	Rio_Negro_E	10102	Verano	22,2	0,3	1018,8	1016,4	29,9	7,2	10,3	27,5	7	0	0	0	0	c_som_1_1
Rio_Cuarto_Aero	Cordoba_S	10103	Verano	22,9	11,5	1011,9	964	12,4	10,9	14,4	30	14,6	0	0	0	0	c_som_3_1
Presidencia_R_S_Penia_Aero	Chaco	10103	Verano	23,1	15,5	1014,4	1003,5	20	2,9	4,6	30,8	15,2	0	0	0	0	c_som_3_2
Marcos_Juarez_Aero	Cordoba_E	10103	Verano	19,8	12,2	1015,1	1001,7	20	5,5	7,7	28,2	10,8	0	0	0	0	c_som_3_2
Chamical_Aero	La_Rioja	10103	Verano	27,2	12	1009,2	957,6	20	3,1	5,1	34,2	17	0	0	0	0	c_som_3_1
San_Luis_Aero	San_Luis	10103	Verano	25,7	6,8	1007,9	929,6	20	5,7	8,7	33,1	19,8	0	0	0	0	c_som_3_1
La_Rioja_Aero	La_Rioja	10103	Verano	28,7	10,2	1006,7	959,1	20	4,1	5,1	35,4	20,8	0	0	0	0	c_som_3_1
Ushuaia_Aero_II	Ushuaia	10103	Verano	9,4	4,3	992,8	986	16,7	7,4	13,4	14,6	7,6	0	1	0	0	c_som_1_2
Tandil_Aero	Buenos_Aires_C	10103	Verano	17,1	10,6	1017,6	996,9	18,8	5,2	8,7	25,2	8,8	0	0	0	0	c_som_2_2
San_Antonio_Oeste_Aero	Rio_Negro_E	10103	Verano	27	9,9	1008,2	1005,9	29,9	8	10,3	31,4	18,7	0	0	0	0	c_som_1_1
Ceres_Aero	Santa_Fe	10103	Verano	22	12,4	1015,6	1005,3	13,8	4,4	8,2	30	14	0	0	0	0	c_som_3_2
Concordia_Aero	Entre_Rios	10103	Verano	20,8	13,5	1017,8	1013,3	15	4,8	7,7	27,9	14,5	0	0	0	0	c_som_3_2
Mendoza_Aero	Mendoza	10103	Verano	25,4	10	1006,1	929,1	11,7	1,5	3,6	33	16,1	0	0	0	0	c_som_3_1
Reconquista_Aero	Santa_Fe	10103	Verano	22,8	15,9	1015,6	1009,4	14,3	3,7	6,7	29,4	15	0	0	0	0	c_som_3_2
Laboulaye_Aero	Cordoba_S	10103	Verano	21,9	11,8	1013,5	997,6	9,2	7,2	9,8	29,3	14,4	0	0	0	0	c_som_3_2
Comodoro_Rivadavia_Aero	Chubut	10103	Verano	22,3	6,8	1002,7	997,4	17,5	7,6	10,8	34,7	18	0	0	0	0	c_som_3_2
Formosa_Aero	Formosa	10103	Verano	23,6	17,6	1014,2	1007,3	13,7	2,3	4,1	30,7	16,4	0	0	0	0	c_som_3_2
Santiago_Del_Estero_Aero	Santiago_Del_Estero	10103	Verano	27,4	14,9	1011,9	989,2	14,2	4,7	6,7	33,7	18,6	0	0	0	0	c_som_3_2
Gualeguaychu_Aero	Entre_Rios	10103	Verano	21,7	12,1	1017,8	1015,1	15	3,4	7,7	26,8	13,9	0	0	0	0	c_som_3_2
Villa_Dolores_Aero	Cordoba_O	10103	Verano	26,3	6,6	1010,6	947,4	26,2	7	11,3	34,1	18,5	0	0	0	0	c_som_3_1
Junin_Aero	Buenos_Aires_N	10103	Verano	20,2	11,5	1015,9	1006,4	13,5	6,7	9,8	28	11,4	0	0	0	0	c_som_3_2
